cümle,entity,label,sentiment
Agostostatilimiz çok güzeldi. Otel personeli ile tam bir aile ortamı yemekler hizmet gayet iyiydi. Yanlız camların temizliği kötü idi fakat oteli yeni devir olmasından kaynaklanıyor. Buradan otel personeline çok teşekkür ederim. Seneye müsait olursam yine aynı oteli düşünüyoruz. Bazı arkadaşlar arı sinek var diyor ya kardeşim arıyı sineği otel mi üretiyor? Dibinde deniz dere sazlık doğa var tabii ki arı böcek olacak. Saçmalamayın ayıptır. Kısacası (paramıza cebimize göre) süper bir tatil yaptık.,otel,Ürün,"""pozitif"""
"Fiyatına göre demiyorum, gerçekten kaliteli. Elinizi acıtmaz. 2 günde elime ulaştı. Tavsiye ederim burdan aoga selamlar.",aoga,Marka,"""pozitif"""
Bu parfümü eşime hediye olarak almıştım. Testerda çok anlayamamış olsam da eşimin kullanmasından sonra kalıcılığı ve tazeliğinin şekerimsi bir tatta gün boyu devam ettiğini gözlemledim. Güzel bir koku.,parfüm,Ürün,"""pozitif"""
Boston macerası da bir sene sürmüştü ve son durak olan Miami Heat gelmişti.,"Boston, Miami Heat",Yer,"""nötr"""
"Özellikle oyuncaklarıyla uzun süre oynamayan çocuklar için çok eğitici, kesinlikle tavsiye ediyorum.",oyuncakları,Ürün,"""pozitif"""
"Emiş gücü. Gerçekten şaşırdım; Ürün elime çabuk ulaştı, iyi paketlenmişti ve ucuz aldım.",Ürün,Ürün,"""pozitif"""
Zaten Ürün dünyaca tanınıyor. İndirimlerin devamını bekliyorum. Siteyi takip edeceğim.,Ürün,Ürün,"""pozitif"""
"""Satın aldım ama kullanmadım. Denedim, çok şükür kullanmamı gerektirecek bir durum yok şu anda. Bence diz kısmının açık olması güzel. Malzeme olarak zaten kaliteli. Ben dirsekli, dizlik ve el bilekliği olarak satın aldım.""","dirsekli, dizlik, el bilekliği",Ürün,"""pozitif"""
"Dirseklikte olan sıkıntı bunda da mevcut. Olması gerektiği gibi üst kısım ağzı biraz geniş, baldıra daha kalın olması gerektiğinden dolayı. Ama kalın bir baldıra sahipseniz sorun yok, değilseniz biraz bol duruyor.","dirseklikte, baldıra",Ürün,"""nötr"""
"Pek sakıncası yok. Ölçülere göre satın almanızı tavsiye ederim. Bazı arkadaşlar bir numara küçük alın diyordu, ben pek kulak asmadım ama hata ettim.",ölçülere,Kriter,"""pozitif"""
Anlatıyor Harlem'de geçiyor ne bekliyordunuz lunaparkta eğlenip havai fişek gösterilerini izlemelerini mi? Böyle filmler çok az gelir lütfen oyunculuğa ve emeğe saygı!,Harlem,Yer,"""pozitif"""
Ürün bataryası dolu geldi. Ampullerin aydınlatması çok iyi. Batarya bitene kadar kullanmadım ama çok uzun süre aydınlatma yapar. 4 saat kadar aydınlatma yaptım ve 3 kademeli batarya göstergesinde azalma olmadı. Kısacası elektrik olmayan her yer için ideal ve kullanışlı. Küçük bir kutusu var. Taşıması kolay. Güneş panelini kullanmadım ama o da iş görür gibi duruyor. Bu fiyata bu cihaz çok iyi. Tavsiye ederim.,"batarya, ampuller, güneş paneli, cihaz",Ürün,"""pozitif"""
Gülenin sap ve mutluyum bekarlık sultanlık by Yurda demlik aldık çok mutluyum,"Yurda, demlik",Ürün,"""pozitif"""
"Arçelik güvencesinde olması, ekonomik olması, 4 programlı olması ve yetkili servisin her yerde olması sebebiyle tercih ettim. Çok memnunum, çok iyi yıkıyor.",Arçelik,Marka,"""pozitif"""
"""Survivor için attığınız oyların %1 kadarını Lösev veya TEMA gibi kuruluşlara atarsanız dostlarımızın hayata tutunmasına imkan sağlayabilirsiniz. Hem de paranız medya şaklabanlarını milyoner etmez, gerçek ihtiyaç sahiplerine ulaşır.""","Lösev, TEMA",Kuruluş,"""pozitif"""
Gerçekten güzel bir Ürün fazla para vermeye gerek yok. İç dizaynı da çok hoş. Tavsiye ederim alacaklara başka bir cihaz araştırmayın.,"Ürün, iç dizaynı, cihaz",Ürün,"""pozitif"""
Bu Ürün gerçek olamayacak kadar kalitesiz maalesef.,Ürün,Ürün,"""negatif"" "
Hepsiburada'dan yaptığım alışverişlerde sanırım hiç sorun yaşamadım daha.,Hepsiburada,Şirket,"""pozitif"""
Regensburg lisesinde dersler verdi.,Regensburg lisesi,Eğitim Kurumu,"""nötr"""
Gece mesaj geldi Ürününüz kargoya verilmiştir diye. Sabahta getirdiler.,Ürün,Ürün,"""nötr"""
Keşke sevgilisi fesleğenden daha az bahsetseydi. Sadece Allah aşkını anlatıyor diye almıştım.,fesleğen,Ürün,"""negatif"" "
Günümüzde Rus siyasetçiler tarafından bu tünelin tekrar inşası konuşulmaktadır.,"Rus siyasetçiler, tünel","Yer, Konu","""nötr"""
"Güzel ayakkabı, hızlı kargo, uygun fiyat, sorunsuz alışveriş. Ürün çok şık ve sağlam görünüyor bakalım giydikçe belli edecek kalitesini.",ayakkabı,Ürün,"""pozitif"""
Tefal kalitesi,Tefal,Marka,"""pozitif"""
Darbeye neden olan gelişmeler arasında Türkiye dışı aktörlerin bulunduğu iddiaları da ortaya atıldı.,Türkiye,Yer,"""nötr"""
Böylelikle Shin için daha fazla tanınırlık sağladı.,Shin,Kişi,"""nötr"""
Diş fırçası değil dişçi fırçası. Çok iyi.,"diş fırçası, dişçi fırçası",Ürün,"""pozitif"""
Nicole isimli kişisel bir bilgisayarı vardır.,Nicole,Kişi,"""nötr"""
"Led lamba hem tasarruflu fiyatı hem de uygun, Hepsi burada sitesi ayrıca ilgisi müşteriyle alakadar olması çok güzel senelerdir alışveriş yaparım. Lamba küçük odalar için güzel ama salonlar için zayıf kalır.","led lamba, Hepsi burada","Ürün, Şirket","""pozitif"""
İlk öncelikle şunu bilmeniz gerekir bu telefon Android bir telefon. Yani ufak bir PC. O yüzden ondan evinizdeki masaüstü bilgisayardan beklediklerinizi beklemeyiniz. Fiyatına göre en iyi telefon. Şarjı 3 gün gidiyor normal konuşma ve mesaj süresi ile. Çok oyun oynarsanız da 1 gün (24 saat) idare edebilirsiniz.,"Android, PC, telefon",Ürün,"""pozitif"""
"Ürünü 2 önce aldım ve gerçekten çok memnun kaldım. Ürün harika kalite ve hoş. Klavyenin kalitesi ve ışık sistemi muazzam. Klavye ve mouse oyunlarda kendini belli ettiriyor. Mouse'un tepki hızı harika ve şık bir görünümü var. Mouse'un sadece arka ışıkları klavyenin açığını açtığınızda klavye yazıları fazla görünmüyor ama bence harika. Gene de Ürün bu kalitede bu fiyata harika, alacak olan arkadaşlara tavsiye ederim.","Ürün, klavye, mouse",Ürün,"""pozitif"""
Cihaz gayet iyi.,cihaz,Ürün,"""pozitif"""
Aston Villa ise sekizinci finalinde üçüncü mağlubiyetini almıştı.,Aston Villa,Takım,"""nötr"""
Şarkıda Macy Gray konuk sanatçı olarak yer almaktadır.,Macy Gray,Kişi,"""nötr"""
"Makinamı dün getirdiler, servis bugün kurdu. Saat 7'de çamaşırlarımı yıkama makinama attım. Çıktı ve kurutma makinama attım. Saat 10 ve hepsi dolaba kaldırıldı kıyafetlerin. Daha ne olsun. Ütülü gibi çıktılar resmen. Banyoma kurulduğu için sesi beni rahatsız etmiyor. Banyo da sıcaktı girdiğimde. Bu fiyata bu rahatlığı daha önce almadığım için çok çok çok pişmanım. Gördüğüm herkese tavsiye edeceğim. Aferin Arçelik.",Arçelik,Şirket,"""pozitif"""
Bu rolü kendisine Altın Küre Ödülü kazandırdı.,Altın Küre Ödülü,Ödül,"""pozitif"""
"Ürünü Hepsiburada'dan almak hem ekonomik hem de kolay oldu. 1.5 günde elime ulaştırıldı. Sağlam paketleme yapılmış, kontrol için kargo görevlisiyle açarken bayağı zorlandık :) Ütü masasına gelince malzemesi kaliteli, sağlam, geniş bir ütüleme alanınız var ki nevresim vb. ütülerken büyük rahatlık. Son olarak da %100 yerli malı.",Hepsiburada,Şirket,"""pozitif"""
On altı yaşında Onat Kutlar ile tanıştı; onun sayesinde radyo oyunları yazmaya başladı.,Onat Kutlar,Kişi,"""pozitif"""
"Farklı markalara geçecektim, malının arkasında duran tek firma LG'dir. Bu yüzden LG'ye destek olsun diye bu modele geçtim, gerek yeni çıkan Android'leri hemen alması gerekse eksikleri biran evvel gidermesi olsun kullanıcı dostu diye kabul ettiğim tek firmadır. iOS'tan sonra geçtim Android'e, iOS bitti jailbreak olmayınca. LG G5 forever diyorum. Gold versiyonunu aldım, çok şık duruyor, ele güzel oturuyor. Hızlı bir telefon, hemen güncellemeyle karşıladı beni. Süper bir şey yapmışlar. Kesinlikle alın.",LG G5,Ürün,"""pozitif"""
"Çalışırken çok sessiz, sıkarken biraz sesi çıkıyor ama normal, tam kurutma yaptığınızda kupkuru çıkıyor ama biraz kırışık çıkıyor çamaşırlar, görüntüsü çok şık, kullanımı kolay-bol programlı, yani her şey düşünülmüş, yük sensörü yok bence olmaması daha iyi, yani almışken bir seferde alın ikisini bir arada alın arkanıza bakmayın, Samsung güzel yapmış bu işi, gerisi şans derim.",Samsung,Şirket,"""pozitif"""
Gazi Üniversitesi Mimarlık Bölümü ile Anadolu Üniversitesi İşletme Bölümü mezunudur.,"Gazi Üniversitesi, Anadolu Üniversitesi",Kurum,"""nötr"""
Ürün mükemmel. En iyi tarafı da vidalama için istediğin gibi ayarlayabiliyorsun. Fiyatı da piyasadan çok daha uygun. Kimse dışarıdan alıp fazla para vermesin. Hepsiburada'ya çok teşekkürler.,Hepsiburada,Şirket,"""pozitif"""
Bu senede aynı hediyeyi rahatlıkla aldım. Üstelik çok da uygun fiyata.. Bu imkanı sağladığı için Hepsiburada'ya teşekkürler.,Hepsiburada,Şirket,"""pozitif"""
Curry sezonda gösterdiği performansla Yılın Çaylağı ödülü için en güçlü adaylardan biri olmuştur.,Curry,Kişi,"""pozitif"""
Monster Tag Battle!,Monster Tag Battle,Oyun,"""nötr"""
Huggies'in kalitesini biliyoruz zaten Hepsiburada'da piyasaya göre çok uygun. İki kutu alınca kargo ücretsiz oldu ve yanında da hediye banyo bebek şapkası da cabası. Hepsiburada'ya hızlı kargosu ve bize bu Ürünü bu fiyata sunduğu için teşekkürler.,"Huggies, Hepsiburada","Şirket, Ürün","""pozitif"""
Çok iyi kurgulanmış ve izleyiciyi şaşırtmayı çok iyi başaran bir film. Sırf Kevin Spacey'nin performansı için bile izlenir.,Kevin Spacey,Kişi,"""pozitif"""
"Vestel mağazasında gördüm, çok şık olmuş. Almamak için kendimi zor tuttum. Kampanya olursa alacağım.",Vestel,Şirket,"""nötr"""
Sony bu albümden çok hoşnut değildi.,Sony,Şirket,"""negatif"" "
Oyundaki olaylar Andorra ülkesinde geçer.,Andorra,Yer,"""nötr"""
"Siparişim sorunsuz şekilde çok kısa sürede elime ulaştı. Çok fazla Ürün inceledikten sonra Tefal'in bu Ürününü almaya karar verdim. Cam demlik gayet sağlam, çayın tadı istediğimiz gibi oldu. Keyfimden bir de porselen demlik de alacağım. Ona güvenerek cam demlik aldım zaten. Cam keyifli oluyor, tavsiye ederim. Kırılacağa benzemiyor. Süzgeci gayet güzel, ideal ve kapağına sabitlendiği için devrilmeyen bir süzgeç. Bu fiyat aralığında bakıyorsanız Tefal alın derim.",Tefal,Şirket,"""pozitif"""
"Muhteşem. Bayram sonrası ailece tercih ettiğimiz Akbulut Otel'de harika bir tatil geçirdik. Yemekler oldukça lezzetli, personel çok nazik ve güler yüzlüydü. Oda temizliği oldukça iyi ve hijyen kurallarına uygundu. Tüm Akbulut Otel çalışanlarına teşekkür ederim, kesinlikle tavsiye ediyoruz.",Akbulut Otel,Şirket,"""pozitif"""
"Diğer Ürünler gibi bu Ürün içinde en iyi fiyat burada. Başka yerde aramayın, Arçelik'ten çekinmeden alın derim. Hızlı gönderiye teşekkürler.",Arçelik,Şirket,"""pozitif"""
Dustin Hoffman bu film çekimlerinden önce ve çekimler sırasında bir süre otistiklerin gerçek hayatını yakından takip edip onlarla yaşamış. İşte işine saygı ve değer budur. Oscar böyle alınır ve tarihe film böyle damgasını vurur. Mükemmel bir film.,Dustin Hoffman,Kişi,"""pozitif"""
İç Anadolu’ya Göksu Vadisi üzerinden bağlanan Holmi’nin deniz aşırı ülkelerle bağlantıları vardı.,"Göksu Vadisi, Holmi",Yer,"""nötr"""
Açıkçası Winona Ryder'dan Donna olamayacağı kanaatindeyim.,Winona Ryder,Kişi,"""nötr"""
"Tokalar orta boy, fotoğrafta göründüğü gibi büyük değil ama dayanıklı.",Tokalar,Ürün,"""pozitif"""
"Çok güzel tokalar, kaliteli ve uygun. Teşekkürler.",Tokalar,Ürün,"""pozitif"""
Güzel tokalar.,Tokalar,Ürün,"""pozitif"""
"Güzel toka, iyi.",Tokalar,Ürün,"""pozitif"""
Fotoğrafta kocaman gösterip küçücük toka gelmesi beni şaşırttı.,Tokalar,Ürün,"""negatif"" "
Beklediğimden küçük geldi ama sıkı tutuyor.,Tokalar,Ürün,"""nötr"""
"Görseldeki renk tonlarıyla birebir uyuşmuyor ve beklediğimden bir tık küçük geldi, onun dışında gayet güzel. 🤗",Tokalar,Ürün,"""pozitif"""
Biraz daha büyük bekliyordum ama güzel.,Tokalar,Ürün,"""pozitif"""
Biraz küçük ama güzel.,Tokalar,Ürün,"""pozitif"""
"Güzel, kullanışlı.",Tokalar,Ürün,"""pozitif"""
"Beklediğimden iyi geldi, kaliteli duruyor, verdiğiniz para boşa gitmiyor, rengi fotoğraftaki ile birebir aynı. Yumuşacık. Diğer renklerden de almayı düşünüyorum. Tavsiyedir. 👍",Tokalar,Ürün,"""pozitif"""
"Bu fiyata gayet çok güzel, tavsiye ederim.",Tokalar,Ürün,"""pozitif"""
Çok güzel ve uygun.,Tokalar,Ürün,"""pozitif"""
"Fiyatına göre kalitesi çok güzel, içerisindeki renklere bayıldım, teşekkürler.",Tokalar,Ürün,"""pozitif"""
"Hep kullandığım bir toka modeli, bu sefer böyle yaz renkleri olsun dedim. Sadece aşırı plastik kokusu vardı, 1 gün balkonda beklettim.",Tokalar,Ürün,"""nötr"""
Ebat olarak küçük ama çok güzeller.,Tokalar,Ürün,"""pozitif"""
Çok güzeller❣️,Tokalar,Ürün,"""pozitif"""
"Kıskaçları çok sağlam, saçı tam kavrıyor, kesinlikle almalısınız kızlar 🥳",Tokalar,Ürün,"""pozitif"""
"Görseldekinden daha küçükmüş ve renkler böyle pastel değil, cart.",Tokalar,Ürün,"""negatif"" "
Güzel ama çok küçükler.,Tokalar,Ürün,"""negatif"" "
Gayet güzel ve kullanışlı.,Tokalar,Ürün,"""pozitif"""
Güzel paketlenmiş.,Tokalar,Ürün,"""pozitif"""
Çok güzel tokalar.,Tokalar,Ürün,"""pozitif"""
İş görür. Bu fiyat performans Ürünü.,Tokalar,Ürün,"""nötr"""
Fiyatına göre iyi.,Tokalar,Ürün,"""pozitif"""
Ürün çok küçük ama kullanışlı; çok sevdim.,Ürün,Kullanışlılık,"""pozitif"""
"Açıkçası yeni aldığım Philips podium spot avizem için bakınırken olumlu yorumları gördüm. Ne kaybederim ki diyerek 8 tane aldım. Muazzam bir renk ve güçlü ışık. Avizemle de uyumlu ki tek korkum buydu. Toplamda 3 tanesi 15 watt enerji harcıyor. Teşekkürler HB, çok memnunum; yedek de aldım her ihtimale karşı.",Philips Podium Spot,Ürün,"""pozitif"""
Beyaz tenliyim. Renk tonu cildime gayet uygun ve çok doğal duruyor.,Renk Tonu,Cilt,"""pozitif"""
"Ürün zaten kaliteli. Kargoya geçiş süreci uzun sürdü, kargoya geçtiği günün ertesi gün buradaydı.",Ürün,"Kalite, Kargo","""pozitif"""
"Güzel bir Ürün; sessiz çalışıyor. Odadaki nem miktarını 37 ölçtüm, yarım saat çalıştı, nem 55 seviyelerine gelmişti. Bebekli aileler için iyi.",Ürün,Nem Ölçümü,"""pozitif"""
Daha ilk fırçalamada farkı hissediyorsunuz. Almaya düşünenlere şiddetle tavsiye ederim.,Fırça,Ürün,"""pozitif"""
"Güzel, memnun olduk. Teşekkür ederim emeği geçen arkadaşlara.",Ürün,Memnuniyet,"""pozitif"""
"Ürünü yeni kurdum; her özelliğini çözmeden hayran kaldım. Akıllı kumanda özelliğini yapamadım ama çok önemli değil. Online filmler yeni görüntü iyi. IPTV güzel. Sanırım adil kullanım kotası yetmeyecek. Tavsiye ederim, standartların üstünde arayanlara birebir.",Ürün,"Akıllı Kumanda, İnternet","""pozitif"""
"Arkadaşlar, bu Goldmaster uydu alıcısının kalitesini kimse tartışmasın çünkü kullanan biliyor ne kadar kaliteli bir marka olduğunu. Bazı arkadaşlar kanal arama karışık demiş ama diğer uydu alıcıları kadar karışık değil; kesinlikle bu fiyata tavsiye ederim.",Goldmaster Uydu Alıcı,Ürün,"""pozitif"""
Şiddetle tavsiye ederim şimdiden :),Ürün,Tavsiye,"""pozitif"""
Olanlarda da zamanın şartlarına uygun değişimler gözlenmektedir.,Değişimler,Zaman,"""nötr"""
Katedral tarih boyunca birçok değişiklik geçirmiştir.,Katedral,Tarih,"""nötr"""
Günümüzde bazı medreseler harap durumdadır.,Medreseler,Durum,"""nötr"""
"Televizyonum LG Smart TV 72 ekran 9600 ile mükemmel uyumlu oldu. Takıldım ve CI olarak tanıdı. Teledünya kartını ters takmışım, TV beni uyardı. Kanalları tarattım. 3D’yi de keyifle izliyorum. HD yayınlar gerçekten HD. Kanal geçişi yavaş ama olmasa şaşardım, çünkü kablodan yayını alıyor ve Teledünya kartından onay alıyor. Tavsiye ederim.",LG Smart TV,Teledünya Kartı,"""pozitif"""
"Arkadaşlar, Ürünüm 2 gün içinde geldi. Kurulumunu kendiniz yapıyorsunuz; vidaları iyice sıkılaştırın, yoksa eğilmeye neden olur. Kendi evimdeki kapılara pek fazla uymadı, mutlaka ölçü alın ve kapı kasalarının üst tarafında dışa doğru pay olup olmadığını kontrol edin, yoksa barfiks çekmeye başlarken kendinizi yerde bulabilirsiniz. Portatif bir araç tavsiye ederim.",Ürün,Portatif Araç,"""negatif"" "
İlk iki katta ağır taş kullanımı örnekleri görülmektedir.,İlk İki Kat,Ağır Taş,"""nötr"""
Bir haftadır kullanıyorum; Ürün gayet hızlı. Bilgisayar kullandığınızın farkına varıyorsunuz. Kesinlikle RAM kadar işlemci kadar bilgisayar için vazgeçilmez bir parça. Herkese tavsiye ederim.,Ürün,Hız,"""pozitif"""
Grup için Metallica ve Megadeth büyük bir ilham kaynağı olmuştur.,"Metallica, Megadeth",Grup,"""pozitif"""
Uyku bozukluğu kimi insanlarda kronik hale gelip çok büyük sorunlara neden olabilmektedir.,Uyku Bozukluğu,Genel,"""nötr"""
İşletim sisteminin kalitesinin yanı sıra bu komutlar bir saniyeden çok daha kısa zamanda ulaşmaktadır.,İşletim Sistemi,Komutlar,"""nötr"""
"Gayet kullanışlı, kaliteli Ürün. Çok uygun fiyat. Tavsiye edilir!",Ürün,"Fiyat, Kullanışlılık","""pozitif"""
Bugün Ürün elime geçti. Samsung'un her Ürünü gibi bu Bluetooth kulaklık muhteşem. Çok çabuk şarj oluyor. Boyun arkasına taktığınızda herhangi bir rahatsızlık vermiyor. Kulaklığın uçları kulak içine çok rahat oturuyor. Dışarıdan herhangi bir ses gelmiyor. Bas ve tiz ayarları çok iyi. Play.google'dan Samsung Level uygulamasını cep telefonuma indirdim. Uygulamada bir sürü ayar mevcut. Hepsiburada.com'un güvencesiyle Ürünü herkese tavsiye ederim.,Samsung Bluetooth Kulaklık,Ürün,"""pozitif"""
Bence bu filmi izleme gafletinde bulunmayın. Ben bulundum. Zamanınıza yazık olur. Uzak durun bence.,Film,Genel,"""negatif"" "
Hafta içi her gün yayınlanan programa bir uzman katılmakta ve sorulara cevap alınmaktadır.,Program,Uzman,"""nötr"""
Tokalar güzel sağlam sadece kötü bir kokusu var ve renk tonları aynı değil.,tokalar,Ürün,"""negatif"" "
Renkler görseldeki gibi gelmedi,renk,Genel,"""negatif"" "
Gayet kullanışlı renkler bu şekilde geldi görseldekinden farklı ama gelen renkler de gayet güzel,renk,Genel,"""pozitif"""
çok tatlılar fakat fotoğraftakinden bı tık küçükler,tokalar,Ürün,"""pozitif"""
çok güzel begendik,tokalar,Ürün,"""pozitif"""
Biraz küçük geldi,tokalar,Ürün,"""negatif"" "
Çok güzel başarılı önerilir.,tokalar,Ürün,"""pozitif"""
Çok güzeeelll,tokalar,Ürün,"""pozitif"""
çok güzellerrrrrrrrr,tokalar,Ürün,"""pozitif"""
çok kaliteli,tokalar,Ürün,"""pozitif"""
Fotoğraftaki renkler gelmedi,renk,Genel,"""negatif"" "
hızlı ve aynısı geldi gayet güzel ucuz,tokalar,Ürün,"""pozitif"""
tokalar çok güzel kaliteli ve sağlam geldi,tokalar,Ürün,"""pozitif"""
cok cabuk bozulan tokalar cokta saglam degil ama renkleri cablı güzel,tokalar,Ürün,"""negatif"" "
Boyut olarak biraz küçük yine de beğendim,tokalar,Ürün,"""pozitif"""
Sağlama benziyor,tokalar,Ürün,"""pozitif"""
"çok kalitesiz plastik ucuz duruyor, renkleri de benzemiyor",tokalar,Ürün,"""negatif"" "
renkler daha soluk ama gündelik kullanım için idare eder.,renk,Genel,"""negatif"" "
resimdeki renkler gibi pastel değil.Rengi takmayan icin İş görür,renk,Genel,"""negatif"" "
Beğendim. Güzel tokalar.,tokalar,Ürün,"""pozitif"""
Ürün sorunsuz bir şekilde geldi çok güzel beğendim fiyatına göre baya iyii,tokalar,Ürün,"""pozitif"""
Bayıldım özellikle renklerine,renk,Genel,"""pozitif"""
Sağlam teşekkürler.,tokalar,Ürün,"""pozitif"""
Güzel Ürün,tokalar,Ürün,"""pozitif"""
güzel ama biraz kücük,tokalar,Ürün,"""negatif"" "
Boyutları küçükmüş,tokalar,Ürün,"""negatif"" "
çok hoş sevdim,tokalar,Ürün,"""pozitif"""
Çok güzeller,tokalar,Ürün,"""pozitif"""
çok tatlı çok begendimmmm🌸,tokalar,Ürün,"""pozitif"""
Biraz küçük geldi,Ürün,Boyut,"""negatif"" "
Çok güzel başarılı önerilir.,Ürün,Genel,"""pozitif"""
Zorlu Center'daki Apple Store'da yaşadığım olumsuz deneyim ve garanti kapsamındaki Macbook Pro M3 bilgisayarımla ilgili karşılaştığım sorunlar hakkında şikayetimi iletmek amacıyla yazıyorum.,"Apple Store, Macbook Pro M3","Şirket, Ürün","""negatif"" "
Tokalar orta boy foto da göründüğü gibi büyük değil ama dayanıklı,tokalar,Genel,"""pozitif"""
rengleri farklı geldi beğenmedim. resimdekinnen çok daha açık renk geldi,tokalar,Renk,"""negatif"" "
Toka modeli bu sefer böyle yaz renkleri olsun dedim.,tokalar,Renk,"""pozitif"""
"çok kalitesiz plastik ucuz duruyor, renkleri de benzemiyor",tokalar,Kalite,"""negatif"" "
çok tatlı ve sıkı tavsiye ederim renkleri de çok güzel,tokalar,Renk,"""pozitif"""
Sadece aşırı plastik kokusu vardı 1 gün balkonda beklettim,tokalar,Kokusu,"""negatif"" "
mesela haki yeşil görünen toka Benetton yeşili olarak geldi. Kiremit rengi görünen canlı bir turuncu geldi.,tokalar,Renk,"""negatif"" "
ben mükemmel bir Ürün herkes alsın bu Ürünü,Ürün,Genel,"""pozitif"""
alın aldırın çok güzel,Ürün,Genel,"""pozitif"""
Çok güzel teşekkür ederim,Ürün,Genel,"""pozitif"""
Tokalar orta boy foto da göründüğü gibi büyük değil ama dayanıklı,tokalar,Boyut,"""pozitif"""
Ürün plastik ve basit duruyor. Bana plastik kokusu da geldi.,Ürün,Kalite,"""negatif"" "
"Çok güzel tokatlar, kaliteli ve uygun. Teşekkürler",tokalar,Kalite,"""pozitif"""
fotoğrafta olduğunda oldukça küçük gür saçınız varsa kesinlikle almayın,tokalar,Boyut,"""negatif"" "
Güzel Ürün beğendim,Ürün,Genel,"""pozitif"""
Teşekkürler çok güzel geldi,Ürün,Genel,"""pozitif"""
Ürün çok kalitesiz aşırı plastik kokuyor yıkayıp kullanmayı deneyeceğim renkleriyle alakası yok,Ürün,Kalite,"""negatif"" "
Renkler göründüğü kadar canlı değil ancak fiyata göre günlük kullanım için alınabilir,Ürün,Renk,"""negatif"" "
"Renkleri çok hoş, kullanışlı. Uzun süredir kullanıyorum, bir sıkıntı yaşamadım.",Ürün,Renk,"""pozitif"""
Tokalar güzel ama asker yeşili olan açık yeşil geldi fiyat performans bence,tokalar,Renk,"""pozitif"""
Renkleri daha açık ama fena değil. Fön ve saç şekillendirmede kullanılır. Sağlam ulaştı renkleri çok tatlı,tokalar,Renk,"""pozitif"""
Yanlış Ürün gönderildi iade edeceğim,Ürün,Genel,"""negatif"" "
bir Ürün kırık geldi lakin iade etmedim gerek duymadım,Ürün,Genel,"""negatif"" "
biraz küçük,Ürün,Boyut,"""negatif"" "
beklediğimden bir tık küçük geldi ama güzel çok hoşuma gitti,Ürün,Boyut,"""pozitif"""
teşekkür ederim çok güzeller,Ürün,Genel,"""pozitif"""
Tam bir fiyat performans boyutları da ne çok küçük ne çok büyük saçınız çoksa tutmayabilir,Ürün,Boyut,"""pozitif"""
güzel tokalar,tokalar,Genel,"""pozitif"""
Güzel toka iyi,tokalar,Genel,"""pozitif"""
fotoğrafta kocaman gösterip küçüçük toka gelmesi beni şaşırttı,tokalar,Boyut,"""negatif"" "
fiyat performans Ürünü,Ürün,Genel,"""pozitif"""
beklediğimden küçük geldi ama sıkı tutuyor,tokalar,Boyut,"""pozitif"""
görseldeki renk tonlarıyla birebir uyuşmuyor ve beklediğimden bir tık küçük geldi onun dışında gayet güzel.🤗,tokalar,Renk,"""pozitif"""
biraz daha büyük bekliyordum ama güzel,tokalar,Boyut,"""pozitif"""
biraz küçük ama güzel,tokalar,Boyut,"""pozitif"""
güzel kullanışlı,tokalar,Genel,"""pozitif"""
